,Keys,Definitions,0,1
863,gơnuang,to make a circle of wire,10.810329,8.01849
864,gơnŭk, a large pile ,10.754376,9.571214
865,gơp,shelter underneath rock tree,7.918817,10.320716
866,hơgơp,cave ,9.744209,7.411404
867,gơsỡm-hla gơsỡm,an edible leaf (plant),9.502585,12.257815
868,gơwang,type of expensive wine jar,10.594165,13.968563
869,gơwŏk,"to be hooked, pick with a hook",11.27363,7.6144743
870, long gơwŏk,a hook,11.246952,7.6168385
871,gơwôh, buck teeth ,6.362472,9.085114
872,gỡ,to break something made of wood metal glass,8.774164,11.287089
873,gỡng, measurer for small stick-like objects,9.563641,9.758058
874,gỡng ga,four-poled device to tie carabao to for sacrifice ,11.984766,6.740645
875,gỡ,handle ,9.697076,9.141894
876,gỡt," to brake, to prevent, control oneself ",8.51101,5.1236215
877,"grach, yă grach",cricket,10.454203,7.1492968
878,"grah, grah luăn 'năr",solar eclipse (grah is probably some animal eating the sun),11.018341,11.520792
879,"grak, grak-kơgrak",the noise of a person snoring ,13.140119,11.397812
880,gram,"to keep house, body clean",8.172739,10.524249
881,grang,a basket used to catch fish ,8.938546,13.400697
882,gră,"big seeds, big seed-shaped things",9.46413,12.447127
883,grăt,"to be silent, a quiet person",7.8795185,5.397203
884,gre,vehicle,10.423476,7.769311
885,grĕng,eye teeth,6.2937136,8.9613495
886,grĕng-nĕng,small bell,13.614671,9.982293
887,grĕnh,to growl,12.596627,11.020907
888,grê,"leaning tree, house",8.732639,12.084303
889,grik,sound of growl,12.667562,11.1888685
890,gring,fierce noisy leap of the tiger at prey,11.942918,11.240874
891,groi,hill,10.018284,7.653245
892,grong,to beat gongs and march around something,10.6980915,10.06858
893,grŏl,to roll,10.809415,9.94073
894,grôi,"mane of horse, pig",11.490107,9.146212
895,groih-gogroih,noise of pulling something small on ground,13.242927,11.683546
896,grôih-gogrôih,noise of pulling something large on ground,13.240238,11.680087
897,"grôk, grôk",noise of stomach rumbling,12.981192,11.324133
898,grỡ,vulture,12.457789,9.707121
899,grỡ ă,a large vulture,12.354846,9.701685
900,grỡm,thunder from distance,9.919671,7.802743
901,gruih,to stand up quickly ,7.412739,7.4865055
902,grŭn, to strain when carrying something on back,8.872963,9.638417
903,grŭp,group,10.907145,6.1592793
904,gueo,"very dark, unable to understand",11.313257,11.805511
905,"guêng, jỡng guêng",bowlegged ,10.502164,7.3931475
906,gur ,split ends of hair,7.6334786,12.080946
907,gŭi,edible yellow fruit that grows on vines that climb trees,9.560242,12.535347
908,gŭk,to pile up,10.742773,9.604336
909,gŭm,to help ,9.70042,7.275086
910,gŭt ,to bend,9.444791,8.936283
911,ha,to open mouth,7.354179,9.206502
912,ha ,"huh?, question particle",12.176353,4.7136536
913,hach,"to dissolve, melt, disintegrate ",9.99185,8.458361
914,hah ,huh?,10.301738,7.1828494
915,hai,graduated shape,10.36047,8.4516
916,"hai, đak hai",saliva ,7.4500046,9.2591915
917,hal,"happy, thrilled",7.7559423,5.751256
918,han ,sharp edged,9.778027,9.193914
919,hang,sting from salt on cut,6.0496106,9.7222
920,hang nuih,distressed,7.5213118,4.8381953
921,hang,"bank of river, sea",7.184768,10.397194
922,hanh,to desire,7.553276,6.5554237
923,hao ,"to climb, ride",8.053271,8.502732
924,har,bitter,7.5099783,4.7632427
925,hă,huh? question particle,12.1714525,4.7115173
926,hăk,to vomit,7.843488,9.573315
927,hăl,"to be tired of, bored",7.1362014,7.6383257
928,"hăm, hỡm",question marker preceding verb,10.152102,6.583289
929,hăm,"with, and ",10.15526,5.876312
930,hăp,3rd person singular (in some dialects it is the familiar form) ,11.578523,5.5952396
931,hăt,"to be in a hurry, be busy at",8.0474825,7.394207
932,hăt-hot,emphatic of hăt ,12.10267,5.4541073
933,he ,"expression used when handing something to someone, ""here"" ",10.076004,6.6874604
934,hei ,any time during the day before the present moment ,6.026886,6.5638237
935,hei hơhei,very much earlier,6.2770324,6.6930804
936,măng hei,last night,5.867808,7.089737
937,hek,to tear,9.057346,11.059598
938,hek-hok,emphatic form of hek ,12.139606,5.598629
939,hen ,to stand on tip-toes to pull in stomach,8.48568,8.903716
940,"hĕ, hĕ","words used to call cows, carabaos",11.657507,8.501983
941,hêt-hêt,"to breathe heavily, to be out of breath ",7.2578387,8.465804
942,hi,final particle marking emphasis,12.157944,4.6779165
943,hiam,type of tree the bark of which is used to kill fish,8.808595,12.289917
944,hiang,"pick all over, weak, failing health; pale",11.250288,11.265152
945,hiap,to curse ,10.952218,5.824955
946,hiă,"spare (as tire, food)",6.3210597,6.6765494
947,hiĕm,to feed,7.125221,8.696268
948,hiĕn,to cough ,7.207421,8.983977
949,hiĕt,to cut oneself,8.024284,12.135023
950,hih,huh? question particle,12.178454,4.7191553
951,hil,to be angry ,7.4685283,4.7535644
952,hin ,very poor,8.888855,6.897588
953,hiom,to feel the chills,6.399249,9.904724
954,hiong,"to lose something, to be lost",9.704964,5.339068
955,hiot,to pull,8.404121,9.059955
956,"hiŏu, hiâu",to walk fast ,7.567391,7.9161415
957,hiôk,"happy, pleasant",7.7556005,5.7483544
958,hiôk-hian,"quiet, peaceful",7.912644,5.40959
959,hiơ,spinning wheel,10.774743,8.126488
960,hiơ-hiă,hunger pangs,7.0362635,8.472249
961,hiơt,to forget,8.812734,6.1000285
962,hiỡ,to spend a long time at because enjoying it,7.698475,6.988918
963,hiỡr,"to be thrilled, really desire something ",7.553778,6.5687056
964,hip ,suitcase-type box,10.518178,8.26886
965,hium,to gather together,11.159648,5.35809
966,hiŭ,to go down gradually,7.943854,8.265806
967,hiŭ-hiŭ,springy,8.438958,12.711613
968,hiu-hiŭ,to fall gradually,7.9211073,8.368617
969,hiưp,twilight; to fall asleep,5.99368,7.326226
970,hǐ,post-verb particle meaning or function of which not been determined,12.163998,4.706913
971,hla,leaf ,9.372157,12.135513
972,hla bơar,paper,8.7817,10.397684
973,hlach,"to cut with a very sharp knife as rubber, skin, gums",8.097552,12.059631
974,hlak,classifier for paper money,8.463221,11.413657
975,hlang,type of fish,9.050981,13.453196
976,"hlang, hlăng",type of small bee that lives in tree and produces edible honey ,12.136352,10.090609
977,hlanh,unable to do,8.880005,6.938894
978,hlao,to become sick of,7.140829,7.762276
979,hlăk,"to be caught, stuck, not able to pull out",8.260559,8.030804
980,hlăng,clear in reference to water glass ,7.5692735,10.563562
981,hlăr,to look at a person with a fearful expression,6.6030874,4.9427557
982,hle,new,10.428641,5.99489
983,hler,to describe something cold,6.3993764,9.912781
984,hlĕch,type of fish,9.052167,13.451364
985,hlĕl,"a little, just one",10.568298,5.116423
986,hlêl,full and running over,10.0745125,4.764298
987,hlêl-hlal,many things being full,10.210194,4.738248
988,hlêp-hlap,to cut into big slices,8.030127,12.142133
989,hlêp-hlêp,to cut into big slices,8.034086,12.138586
990,hli,to be afraid,6.6068845,4.949581
991,hli-hlơt,emphatic form of hli,12.137845,5.61066
992,hling,to pour into a cup,10.486995,13.844408
993,hlǐch,strange ,10.4507,5.9883704
994,hlǐch-hlăch,emphatic form of hlǐch,12.155511,5.591309
995,hloch,to pull out sword from sheath,9.945194,9.323849
996,hloh,"to be gone already, go farther than",9.710247,5.353834
997,hloh,more than ,10.336647,4.2756925
998,hloi,"immediately, completely",6.942754,6.532823
999,hlom,to be hidden,6.2387867,4.101454
1000,hlong,similar to hloi,10.492055,6.895724
1001,hlot,to be sold ,8.93902,6.6480722
1002,đing hlot,instrument used carry thread in weaving,10.325895,10.665074
1003,"hlŏt, 'ba hlŏt",type of rice,10.545421,14.927988
1004,"hlŏu, hlâu",to point,9.075289,7.931214
1005,hlôh,hole in paper,9.083948,10.436935
1006,hlôh,to understand,9.140741,6.3021903
1007,hlôi,to reach and pass to signify action completed,8.628679,6.34916
1008,hlôm,to blow a musical instrument,12.696052,11.598334
1009,hlơk,to pull up pant legs,8.52694,8.89008
1010,hlơk,to turn pages of book,9.452305,7.1519575
1011,hlơp,to be hidden,6.2406497,4.1004257
1012,hlỡk,to sleep very heavily,6.5140777,7.6683006
1013,hlỡm,to faint,9.723284,6.9797235
1014,hlum,to be hidden,6.238699,4.09952
1015,hlŭn,to sink in as earth to be very dented ,8.967311,10.487347
1016,hlŭt,very soft muddy hole,9.101779,10.40069
1017,hmach,to want something you could have had but can't have now,8.067697,6.3443265
1018,hmach,to greet,9.287309,6.7667794
1019,hmaǐ,"there, I told you so?",10.10892,6.406411
1020,hmar,trap that has door for animals to enter but then shuts them in,8.3510275,13.122443
1021,"hmar, apo hmar",a dream that is fulfilled,7.4175906,6.6277256
1022,hmă,the customary ,9.794052,6.129808
1023,hmăng,"to wish for, hope for, wait for",7.038815,6.4971943
1024,hmêh,to have desire to do,7.8797526,6.431969
1025,hmêu-hmao-mao,many people,11.124668,5.7267013
1026,hmoi,"to cry, weep, mourn",12.914109,10.956316
1027,hmok,"bark of tree, banana stalk",9.166086,12.383642
1028,hmôch,ant,12.109471,10.032261
1029,hmơt,"strong desire, to have appetite for",7.478155,6.743666
1030,hmơhmơt,to have craving for,7.5118275,6.772105
1031,hmrang,to be equal in size,10.42286,9.232048
1032,hmrunh,two people or animals sleeping together,11.209724,5.407003
1033,hmrunh-hmranh,many of two sleeping together,11.193767,5.385028
1034,hnam,"house, home, building",9.623199,8.060436
1035,hnăt,leak in roof ,7.5020485,10.115836
1036,hnơr,generation ,10.7446375,7.626062
1037,hnỡk-hnônh-mônh,to describe many people lying down ,8.521106,3.9939575
1038,hnỡk-hnăk,to describe many people dying,12.232226,6.9372125
1039,hngach,light rain that continues for a long time-hours or days,7.6706476,10.123526
1040,hngam,simple form of eight,10.965912,6.824548
1041,hngăm,"heavy, many",8.592368,8.676446
1042,hngĕl-hngal-mal,to describe many large heads lying on ground,10.906208,9.50222
1043,hngĕl-hngônh-mônh,many small heads of dead animals lying on ground e.g. fish chicken,11.601916,9.871314
1044,hngễ,"slowly, late",6.6112556,7.135826
1045,hngok-hngônh-mônh,many people together working or playing,11.16331,5.4288397
1046,hngơr,to snore,13.196495,11.285382
1047,hnhăng,"come here, come quickly ",7.9914722,7.4549637
1048,hnhǐt,to forget (a descriptive word rather than a main verb),8.825226,6.097265
1049,hnhoi,"to look at continually, to look at and follow",8.94733,7.5572143
1050,hnhong-hnhônh-mônh,everybody looking at something,8.945982,7.5533957
1051,hnhŏk-hnhônh-mônh,many people sitting around sad thinking of someone sick,7.5315104,4.8557434
1052,hnhơnnhăp-hnhônh-mônh,many people doing something together,11.181959,5.4110975
1053,hnhăp-hnhônh-mônh,same as above (many people doing something together),11.133104,5.4368362
1054,hnhohnhễ,"to describe water leaking out, tears flowing ",7.3700337,10.3573675
1055,ho ,polite imperative particle ,12.012852,4.67843
1056,hoch,"to pull out, take out; of water to take something away",7.9655113,9.311303
1057,hoh,"nothing, only",10.004059,5.012016
1058,hoh-hoy,nothing,9.994234,5.0013638
1059,hon,"to grow fast--plants,hair, but not people ",10.310396,9.499971
1060,hong ,"to be chipped of knife, plate",9.774508,9.073476
1061,hor,to drag on ground ,9.112007,10.728731
1062,hŏ,polite imperative particle,12.030949,4.678687
1063,hŏnh,to be wrinkled with age,8.487936,10.292858
1064,"hŏu, hâu",unhusked rice mixed in with husked rice,10.547866,14.931454
1065,hôn,to be amazed,8.4218855,5.6682334
1066,hỗ lah,"""Oh what a pity""",10.150065,6.7384
1067,hơbal,"quickly, fast",7.970394,7.552428
1068,hơbĕch,"fast, quickly ",7.966305,7.5532
1069,hơbo ,bamboo that is dead,9.479446,14.631148
1070,hơbong,ditch,10.16898,7.73397
1071,hơbŏ,to look like shape ,10.390848,8.567353
1072,bơngai hơbŏ,"handsome, beautiful",8.7195015,7.7809734
1073,"hơbŏu, hơbâu, rơbŏu",thousand,10.699634,4.9464574
1074,hơbôn,soft and springy,8.433381,12.708415
1075,hơbông,drift wood,8.592222,11.8797865
1076,hobỡ,to feel for something,7.527262,6.7561865
1077,hơbỡt,to hit hard with force,9.24936,9.475976
1078,hơbỡt-hơbăt,continually,7.9881196,2.6532772
1079,"hơbung, brai hơbung",black thread,10.411613,10.76996
1080,hơbŭt,of wind to blow hard,9.945858,10.518998
1081,hơ'bīu,to describe swelling from sting,10.953766,7.028231
1082,hơ'biu-hơ'bau,emphatic form of hơ'bīu,10.386069,6.85566
1083,hơ'blô,"pale, weak-looking in face",11.253743,11.286403
1084,hơ'blông,a sickness with sores all over the body,7.0908117,7.837983
1085,hơ'bo,corn (maize),7.5393004,11.499764
1086,hơ'bỡl,thick; of a fever to be high,6.723824,5.178914
1087,hochĕk-hơchăk,to describe many small footprints,10.817856,9.463607
1088,hơchĕm,easily breakable wood,8.777549,11.286262
1089,hơchỡk-hơchăk-măk,to describe many large footprints,10.804998,9.494282
1090,hochŭ,two people bucking each other with head,10.203482,9.236167
1091,hơdah,to be light sunshine light from fire lamp,5.9511285,10.605477
1092,hơdah,or,10.198664,5.8466797
1093,hơdai,together,11.179676,5.3789234
1094,hơdang,shrimp ,9.072079,13.468549
1095,Hơdang,the Sedang,10.432229,7.68065
1096,hơde,a type of bamboo,9.521845,14.671219
1097,hơdoi,together,11.178704,5.3682804
1098,hodỡr,to be sober,6.728859,8.900785
1099,hơdrai,small branches,8.798769,12.410526
1100,hơdraǐ,"wail, cry, call loud in anger",12.910872,11.115902
1101,hơdrang,nest,10.803972,7.6221704
1102,hơdrap,to have a cold,6.4049797,9.889459
1103,hơdră,specific time,6.0944233,6.6017976
1104,hơdrăl,to be sober from drinking,6.755006,8.895755
1105,hodrĕ,an evil spirit,11.604071,6.496452
1106,hơdring,bamboo strip grass used for stringing fish,9.337567,14.16931
1107,hơdroch,an edible leaf with a very good taste,9.55982,12.327813
1108,hơdrol,"before, first",8.36949,6.8312316
1109,hơdrŏ,early rice,10.545899,14.93749
1110,hơdrŏng,leaf that is used to make brooms,9.387368,12.150226
1111,hodrô,wine,10.59534,13.975759
1112,hơdrông,caterpillar worm,10.643357,11.901418
1113,hơdrỡm,bamboo water system,9.712133,14.622445
1114,hơdrỡp,a net bird trap,8.412103,13.147561
1115,"hơdruch, oh hơdruch",youngest in family,12.392833,7.5101194
1116,hodruih,broom,9.479928,11.979146
1117,hơđah,jump,7.5379868,8.3433275
1118,hơđah,of fruit or skin to crack open,9.681703,12.686749
1119,hơđang,of wood to split earth to crack,8.781636,11.292647
1120,hơđỡng,"to depend upon, to be dependable, trustworthy",8.597837,6.033728
1121,hơgăt,cubit (a linear measure from elbow to the end of middle finger),9.183147,8.826503
1122,hơgăt,to measure (linear),9.577144,8.740508
1123,hơgei,"clever, intelligent, capable",9.45312,6.156958
1124,hơgop,together ,11.185349,5.3806252
1125,chỗ hơgop,to tie together,10.301701,10.081135
1126,"hơgŏu, hơgâu",to be unsuccessful in hunting animals,11.301727,10.370082
1127,hơgơng,bridge,9.873803,7.587223
1128,hơgỡm,woven headband,10.436274,8.885255
1129,hơgỡm, if,5.6327868,6.0574827
1130,hơgỡng-ga,sacrifice pole,11.991014,6.651214
1131,hơgỡp,cave,9.745749,7.478907
1132,hơguăl,hair bun,7.7370167,11.596189
1133,hơnĕch-hơhoch,to be ground chopped very small,8.946745,11.707965
1134,hohiĕng,of knife to look very sharp,9.816959,9.248059
1135,hơhôch,to whistle,12.583298,10.852539
1136,hơhôt,of a tube to be clear no obstructions,9.866426,14.491256
1137,hơhơch,to make a mistake,9.545166,6.1448364
1138,hơhrah,"to be offended by, not want",7.5368037,4.7606583
1139,hơhrin,to pinch hard,8.396132,9.25993
1140,hơhrŭk-hrăk,noise of guns going off or someone pounding on another's back ,13.095502,11.493887
1141,hơi,"of little value, not so important, to have lost flavor ",9.7470665,5.482119
1142,hơi,white horse ,11.502514,9.138526
1143,hơi-hơi,not very important,8.943697,6.318246
1144,hơia,"red, sour tree fruit ",9.690557,12.653982
1145,hơiă,happy ,7.7493343,5.754209
1146,hơiĕ,"many small pieces, children ",12.236047,7.636156
1147,hơioh,"child, children",12.23782,7.6486497
1148,hơiơch,to bear a child ,12.207765,7.8515615
1149,hơiơch,light in weight,8.578634,8.682851
1150,hơiơl,type of bamboo,9.480349,14.634118
1151,hơǐng,to not be afraid ,6.6037607,4.9299536
1152,hơjong,to be almost gone ,9.79001,5.2066827
1153,hơjỡm,to work with metals,10.0392065,8.413578
1154,bơngai hơjỡm,blacksmith,10.087762,8.1829605
1155,hơk-hơk,"to miss, be lonesome for",9.326508,4.150168
1156,hơkĕ,"thin, weak ",8.514317,8.427682
1157,"hơkop, prit hơkop",two bananas growing fastened together,10.190116,12.707706
1158,hơkôih,to smooth wood by shaving,9.5531435,10.646591
1159,hơla,to give a gift,8.914287,6.4416366
1160,hơla,not once,10.403943,5.405363
1161,"hơlang, prit hơlang",long yellow bananas,10.227302,12.67601
1162,hơlăng,to be generous,8.516233,5.999685
1163,hơleh,of fruit to fall to the ground of the sky to fall down,9.59174,12.684609
1164,hơlen,to keep on,8.595876,4.9831777
1165,hơlĕ,"maybe this, maybe that",10.239492,6.304275
1166,hơlĕch,east,10.042604,7.4346166
1167,holĕnh,"to lie, be untruthful",8.521597,3.9971151
1168,hơlêm,to ask for pardon ,9.680905,6.6807303
1169,hơli,to feel over with hand,8.903469,9.303764
1170,hơliang,"to jump, fly in a dream",7.540005,8.306254
1171,hơlik-hơlik,"to have to do over and over, say over and over",9.396638,5.3799915
1172,hơloh,immediately,6.914944,6.520235
1173,hơlom,perfect rice grains,10.562081,14.889853
1174,holŏl,filled by one thing,10.525803,5.229179
1175,hơlŏng,throat,7.388518,9.249553
1176,holŏu,classifier for elephants,12.115032,11.340095
1177,hơlôk,a large pile,10.765668,9.587645
1178,hơlơp,pale ,11.2402115,11.339454
1179,hơlỡ,therefore,10.120997,5.8924603
1180,hơlỡ,to turn over as when frying,9.3623905,5.370232
1181,holỡk,"to change, to turn over, to do the wrong or opposite way",9.355794,5.360783
1182,hơluet,to lick one when eating,7.6715503,9.124447
1183,holŭk,"to turn over, a vehicle turning over",9.40507,5.336762
1184,holŭl,buried almost completely,12.536885,6.661156
1185,holŭng,"of a bridge, earth to fall in a hole that is dug",9.143895,10.35323
1186,hơ'lỡng,many each one being beautiful or good,8.694749,7.7139235
1187,hơ'lỡp,"child, children",12.206805,7.6764793
1188,hơmăt,before the face of,8.87631,7.543195
1189,hơmet,to prepare to put away,8.849948,5.055098
1190,hơmŏ,to think it will be right what one wants,9.704455,6.123722
1191,hơmŏl,large chunk of firewood,5.946397,10.745358
1192,hơmơng,roundworm,10.6265135,11.945353
1193,hơmơt,"dangerous, to be feared the most",6.627557,4.9640512
1194,hơmỡl,clouds,7.7595315,9.882562
1195,hơmren,"of arm, leg to sleep",9.079051,8.79708
1196,hơmŭk,classifier for a set of gongs of the same type,13.76181,10.03059
1197,hơmŭl,"money in 50, 100, or 500 piastre bills -  many of one kind",10.670335,4.942987
1198,hơ'măng,again ,10.206352,5.7145286
1199,hơ'mơt,to catch fish with,8.895521,13.37914
1200,hơnao,bamboo knife ,9.480182,14.600221
1201,hơnǐl,in good condition,9.828602,6.3858
1202,hơnong,straw ,12.381157,10.671596
1203,hơnỡng,"balanced, equal, to remain the same",10.524465,5.9734626
1204,hơnỡng -hơnong,intensive form of hơnỡng,-2.0657358,10.648742
1205,hơnuh,the large husks of rice,10.535626,14.92277
1206,hơ'năk,"to cock gun, crossbow",11.988203,8.767065
1207,hơ'nỡk,"to cough up food, cough when eating",7.183769,8.97959
1208,ho'nỡr,to wake up,6.4139166,7.577
1209,hơnganh,a poisonous shrub or vine like poison ivy,9.194199,12.458969
1210,hơngăm,of fire to go down almost go out,6.000507,10.660481
1211,hơngễ,late,6.571521,7.2213125
1212,hongiĕng,shoulder,8.89153,9.535722
1213,hơngo,pine,11.944981,9.153092
1214,hơngŏ,of swelling to recede,10.95533,7.0252957
1215,hơnguang,to hunt animals,11.317534,10.334592
1216,hơnguỡk,hook lasso,11.228537,7.5904455
1217,hơ'nger,to cook on coals,6.6035175,10.863588
1218,hơ'ngĕl,to do over and over,9.397165,5.3782897
1219,ho'nguir,"to not be able to stand up because of fall, sickness",6.920447,7.747776
1220,honhă,a fish net that is pulled up by cord,8.961753,13.411293
1221,hơnhăm,to scorn,8.871541,7.160054
1222,hơnhek,"to be sweaty, dirty and tired",6.5378447,9.808315
1223,hơnhĕr,"to describe child who has been crying, is sad",12.9558935,10.962703
1224,hơnhik,to work hard and long,8.234913,6.636714
1225,honhǐr-honhăr,very sweaty,6.5042777,9.8536215
1226,hơnhok,"tobacco ashes, ashes flying from fire",6.096208,10.678737
1227,hơnhŏ,to be worthy ,8.203509,6.1682014
1228,kơ hơnhŏ,unworthy,10.19077,6.393087
1229,hơnhơr,to squint at,8.889179,7.567981
1230,hơnhuăl,type of fish net,8.983622,13.423555
1231,hơ'nhah,"to jump up quickly, to stop one doing something",7.5680594,8.299566
1232,hơ'nhit-hơ'nhat,to feel sticky,9.458753,10.181647
1233,hơ'nhre,to prune a tree,8.716921,12.219757
1234,hơ'nhuih,to be wet,7.6407914,10.340873
1235,hơô,to raise arm holding something ready to hit someone or something,8.984517,9.2237835
1236,hơpaih,small firewood,5.9584055,10.722838
1237,hơpĕch,"to rub off dirt, wash off",8.144749,10.702385
1238,hơpoih,"a torch, something used to set fire like dry bamboo",6.007674,10.72121
1239,hơpok,the flesh on either side of the backbone,9.339126,8.28203
1240,hơpong,"to visit, in some dialect especially to visit when someone has died",12.247025,6.9310603
1241,hơpuih,to sweep ,10.329185,7.6497602
1242,hơra ,a fruit like the apple or fig,9.657401,12.6953
1243,hơret,to tie hard,10.304922,10.088615
1244,hơrêng,to be leaning over almost falling,7.9225726,8.408709
1245,hơri,"to sing, chant",10.597952,6.665684
1246,horŏng,"behind, after",9.076321,7.884929
1247,hơrỡng,a type of worm that eats rice plants,10.584348,11.986242
1248,"hơrỡng, hrỡng","a very loud noise, to be noisy",13.098018,11.435834
1249,horỡt,to pull with a jerk,8.424106,9.040697
1250,hơtach,friendly,9.754062,6.4835825
1251,hơtai,"at that time, when",5.9961247,6.518034
1252,"hơtang, prit hơtang",long fat type of banana,10.230818,12.666745
1253,hơtat,to land hard on the ground,9.11756,10.661435
1254,hơtă,"instruct, command, request one to do something, buy something for someone",8.602349,6.354235
1255,hơtăng,thin--in reference to material objects but not people,8.513556,8.45736
1256,hơtŏng,stem of fruit handle of pot,9.323399,12.12176
1257,hơtỡp,to pound hole into ground,9.14946,10.374227
1258,hơtŭk,to cook potatoes or corn,7.356298,11.371584
1259,hotŭn,to come together,11.155462,5.337833
1260,hơtŭt,to bump into,9.654586,9.880709
1261,hơtŭt-hơtat,intensive of hơtŭt,-2.0901866,10.673022
1262,howĕng,"bad-mannered, bad-tempered, mean--male only",11.466529,6.465934
1263,howŏng,"barren, not being able to have children",12.234182,7.5900755
1264,hơwơi,to feel for something in the dark--farther out,11.319484,11.812551
1265,hơwỡ,to feel for something in the dark--nearer,11.314223,11.806248
1266,hơwỡl,to be confused,9.640125,6.631736
1267,hơwỡt,to swing arm back and forth,9.167491,9.080015
1268,hơyok,ashes (restricted to paper light material),6.046211,10.670313
1269,hoyŏu,small wild fruit that grows on trees,9.568774,12.602857
1270,hơyuh,"to want, lust for, desire",7.535053,6.5716305
1271,"hơyuh, ayuh","steam, air",6.67763,10.74627
1272,hơyui,to describe someone whose hair is all matted because he never washes it,7.6953654,11.602111
1273,hơyŭi,almost invisible or out of sight,8.8268,7.5187893
1274,hơyŭl,a bunch of fruit ,9.684212,12.717794
1275,hỡ,of food to be peppery,6.079629,9.726689
1276,hỡk,to not want to eat because of odor,7.040858,8.590683
1277,hỡm,question marker,10.040096,6.9484334
1278,hỡm,then ,10.174657,5.877254
1279,hỡt,tobacco,6.3753667,10.729332
1280,hrai,maggots,10.1567545,7.404143
1281,hraih,a full swing of the arms as in falling or knock to someone down,9.097068,9.1032715
1282,hraihdang,to fall and land on small of back,7.948465,8.471373
1283,hram,to leak out a little,7.5016336,10.146043
1284,hrang,to throw a spear,9.479787,9.4953
1285,hrao,good healthy body,8.731673,8.047754
1286,hrao,to wash rice,10.533433,14.938087
1287,hrat,"tired, hard, difficult",7.170175,7.803043
1288,hră,crossbow ,11.99855,8.762368
1289,hrăk,"to mend, sew with string cord",9.998888,10.454697
1290,hrăp,"enough, too much",10.499179,4.5178714
1291,hrăt,"narrow, tight crowded",10.394925,9.3185005
1292,hre,rattan,10.474153,11.579199
1293,"hre, 'bih hre",a kind of snake the size of rattan,10.530438,11.528659
1294,hreh,to be quiet,7.886974,5.399447
1295,"hrek, hiĕn hrek",to cough all the time,7.186968,8.935595
1296,hrep,to twist off fruit with forked stick,9.6347065,12.718904
1297,hrĕng,hundred,10.700768,4.9566026
1298,hrĕng,dry,6.706195,10.299936
1299,hrĕp,to be hidden well,6.238297,4.100786
1300,"hri, yang hri",the spirit that makes rice grow ,10.510478,14.92819
1301,hring,to string fish on a line,9.10162,13.514985
1302,hrip,"to suck, magnetism",10.224399,7.030146
1303,hrok,small conical fish trap,8.574217,13.291951
1304,hrok,to push rice into bamboo tube,9.920505,14.611834
1305,hrot,to pull out from hair,7.7400227,11.595701
1306,hrơ,of swelling to recede,10.962769,7.019574
1307,hrơ,"to be afraid, shy, unaccustomed to",6.6113334,4.9412937
1308,hrơih,to be careful,8.868359,6.173353
1309,hrỡ,of water to seep away dry up go down,7.359581,10.392584
1310,hrỡp,"of birds to alight on a tree, perch",12.579578,9.657666
1311,hrỡp,to catch many fish with hands,8.891968,13.35675
1312,hrŭ,to pay damages,9.303991,6.780248
1313,hrŭch,"to pull on, to break",8.424827,9.112538
1314,hrŭk,to put on clothes,8.284945,10.26484
1315,hrŭl,"to be absent from home, school",7.2731967,6.3959346
1316,"hrŭt, lôch hrŭt",after sickness when feeling almost well to have a bath and then get sick and die ,7.0984435,7.8335867
1317,hu,silver,10.146186,8.212819
1318,hua,medium-sized monkey--male is black female white,11.076394,11.3534775
1319,huach,to gradually become less,7.932023,8.00505
1320,huai,"to redeem, to return something precious",8.876042,6.450651
1321,huan,"tendons, veins",9.809835,7.3037314
1322,huan,bad-tempered woman,11.465684,6.4727387
1323,huang,to go somewhere for fun ,7.702351,7.3882756
1324,chă huang,to go somewhere for fun,7.7269273,7.367672
1325,huay,"used with a verb it has a negative effect, used alone it means ""never mind"", ""no problem""",10.131232,6.173346
1326,huay-huai,"""but nothing happened"" (although we thought something would)",9.969693,5.019683
1327,huăr,earthworm,10.61953,11.945259
1328,huch,"to drink (juices, coffee) ",6.840902,8.999571
1329,hue ,"to look back, turn head around",8.970561,7.656784
1330,hueh,to break wood,8.779461,11.301071
1331,hueng,"type of snake, worm that lives in water and can burrow easily",10.553234,11.864949
1332,huet,to lick fingers,7.8781457,9.179673
1333,"hui hai, yă hui hai","name of imaginary people, amazons",10.834099,6.25053
1334,hul-hal,restless,9.604099,7.1483192
1335,hul-hang,to be hot and very sweaty sultry ,6.506763,9.847576
1336,hum ,to bathe,7.4980793,10.4467535
1337,huŏk,mango ,9.884295,12.757475
1338,huŏng,to fall from a height,7.9706078,8.472986
1339,huơ-huĕl,a curly lock of hair,7.7372046,11.613935
1340,huỡr,"to go around as whirlpool, whirlwind; to whirl",10.497442,8.314599
1341,hŭi,a few,10.570404,5.1289396
1342,hŭng,bay (horse),11.465681,9.033069
1343,hŭt,to throw away,7.8829007,9.571992
1344,hư,to be broken ,9.04997,11.072579
1345,hưch,to love in a physical sense to desire strongly,7.547155,6.632896
1346,iaih,bird trap made by putting a sticky substance on branches,8.457731,13.096927
1347,iam,of flies to land on something,11.937575,9.648369
1348,ia-um,sound of roar of tiger,12.141137,11.274993
1349,iă,fibrous part of sugarcane,9.803359,11.685825
1350,iăl,"much, many ",10.682948,4.927448
1351,iep,"to suck as leech, to suck on straw",12.377926,10.664113
1352,iĕ,"little, small",10.570527,9.28036
