Keys,Definitions
hiam,type of tree the bark of which is used to kill fish
hiang,"pick all over, weak, failing health; pale"
hiap,to curse 
hiă,"spare (as tire, food)"
hiĕm,to feed
hiĕn,to cough 
hiĕt,to cut oneself
hih,huh? question particle
hil,to be angry 
hin ,very poor
hiom,to feel the chills
hiong,"to lose something, to be lost"
hiot,to pull
"hiŏu, hiâu",to walk fast 
hiôk,"happy, pleasant"
hiôk-hian,"quiet, peaceful"
hiơ,spinning wheel
hiơ-hiă,hunger pangs
hiơt,to forget
hiỡ,to spend a long time at because enjoying it
hiỡr,"to be thrilled, really desire something "
hip ,suitcase-type box
hium,to gather together
hiŭ,to go down gradually
hiŭ-hiŭ,springy
hiu-hiŭ,to fall gradually
hiưp,twilight; to fall asleep
hǐ,post-verb particle meaning or function of which not been determined
hla,leaf 
hla bơar,paper
hlach,"to cut with a very sharp knife as rubber, skin, gums"
hlak,classifier for paper money
hlang,type of fish
"hlang, hlăng",type of small bee that lives in tree and produces edible honey 
hlanh,unable to do
hlao,to become sick of
hlăk,"to be caught, stuck, not able to pull out"
hlăng,clear in reference to water glass 
hlăr,to look at a person with a fearful expression
hle,new
hler,to describe something cold
hlĕch,type of fish
hlĕl,"a little, just one"
hlêl,full and running over
hlêl-hlal,many things being full
hlêp-hlap,to cut into big slices
hlêp-hlêp,to cut into big slices
hli,to be afraid
hli-hlơt,emphatic form of hli
hling,to pour into a cup
hlǐch,strange 
hlǐch-hlăch,emphatic form of hlǐch
hloch,to pull out sword from sheath
hloh,"to be gone already, go farther than"
hloh,more than 
hloi,"immediately, completely"
hlom,to be hidden
hlong,similar to hloi
hlot,to be sold 
đing hlot,instrument used carry thread in weaving
"hlŏt, 'ba hlŏt",type of rice
"hlŏu, hlâu",to point
hlôh,hole in paper
hlôh,to understand
hlôi,to reach and pass to signify action completed
hlôm,to blow a musical instrument
hlơk,to pull up pant legs
hlơk,to turn pages of book
hlơp,to be hidden
hlỡk,to sleep very heavily
hlỡm,to faint
hlum,to be hidden
hlŭn,to sink in as earth to be very dented 
hlŭt,very soft muddy hole
hmach,to want something you could have had but can't have now
hmach,to greet
hmaǐ,"there, I told you so?"
hmar,trap that has door for animals to enter but then shuts them in
"hmar, apo hmar",a dream that is fulfilled
hmă,the customary 
hmăng,"to wish for, hope for, wait for"
hmêh,to have desire to do
hmêu-hmao-mao,many people
hmoi,"to cry, weep, mourn"
hmok,"bark of tree, banana stalk"
hmôch,ant
hmơt,"strong desire, to have appetite for"
hmơhmơt,to have craving for
hmrang,to be equal in size
hmrunh,two people or animals sleeping together
hmrunh-hmranh,many of two sleeping together
hnam,"house, home, building"
hnăt,leak in roof 
hnơr,generation 
hnỡk-hnônh-mônh,to describe many people lying down 
hnỡk-hnăk,to describe many people dying
hngach,light rain that continues for a long time-hours or days
hngam,simple form of eight
hngăm,"heavy, many"
hngĕl-hngal-mal,to describe many large heads lying on ground
hngĕl-hngônh-mônh,many small heads of dead animals lying on ground e.g. fish chicken
hngễ,"slowly, late"
hngok-hngônh-mônh,many people together working or playing
hngơr,to snore
hnhăng,"come here, come quickly "
hnhǐt,to forget (a descriptive word rather than a main verb)
hnhoi,"to look at continually, to look at and follow"
hnhong-hnhônh-mônh,everybody looking at something
hnhŏk-hnhônh-mônh,many people sitting around sad thinking of someone sick
hnhơnnhăp-hnhônh-mônh,many people doing something together
hnhăp-hnhônh-mônh,same as above (many people doing something together)
hnhohnhễ,"to describe water leaking out, tears flowing "
ho ,polite imperative particle 
hoch,"to pull out, take out; of water to take something away"
hoh,"nothing, only"
hoh-hoy,nothing
hon,"to grow fast--plants,hair, but not people "
hong ,"to be chipped of knife, plate"
hor,to drag on ground 
hŏ,polite imperative particle
hŏnh,to be wrinkled with age
"hŏu, hâu",unhusked rice mixed in with husked rice
hôn,to be amazed
hỗ lah,"""Oh what a pity"""
hơbal,"quickly, fast"
hơbĕch,"fast, quickly "
hơbo ,bamboo that is dead
hơbong,ditch
hơbŏ,to look like shape 
bơngai hơbŏ,"handsome, beautiful"
"hơbŏu, hơbâu, rơbŏu",thousand
hơbôn,soft and springy
hơbông,drift wood
hobỡ,to feel for something
hơbỡt,to hit hard with force
hơbỡt-hơbăt,continually
"hơbung, brai hơbung",black thread
hơbŭt,of wind to blow hard
hơ'bīu,to describe swelling from sting
hơ'biu-hơ'bau,emphatic form of hơ'bīu
hơ'blô,"pale, weak-looking in face"
hơ'blông,a sickness with sores all over the body
hơ'bo,corn (maize)
hơ'bỡl,thick; of a fever to be high
hochĕk-hơchăk,to describe many small footprints
hơchĕm,easily breakable wood
hơchỡk-hơchăk-măk,to describe many large footprints
hochŭ,two people bucking each other with head
hơdah,to be light sunshine light from fire lamp
hơdah,or
hơdai,together
hơdang,shrimp 
Hơdang,the Sedang
hơde,a type of bamboo
hơdoi,together
hodỡr,to be sober
hơdrai,small branches
hơdraǐ,"wail, cry, call loud in anger"
hơdrang,nest
hơdrap,to have a cold
hơdră,specific time
hơdrăl,to be sober from drinking
hodrĕ,an evil spirit
hơdring,bamboo strip grass used for stringing fish
hơdroch,an edible leaf with a very good taste
hơdrol,"before, first"
hơdrŏ,early rice
hơdrŏng,leaf that is used to make brooms
hodrô,wine
hơdrông,caterpillar worm
hơdrỡm,bamboo water system
hơdrỡp,a net bird trap
"hơdruch, oh hơdruch",youngest in family
hodruih,broom
hơđah,jump
hơđah,of fruit or skin to crack open
hơđang,of wood to split earth to crack
hơđỡng,"to depend upon, to be dependable, trustworthy"
hơgăt,cubit (a linear measure from elbow to the end of middle finger)
hơgăt,to measure (linear)
hơgei,"clever, intelligent, capable"
hơgop,together 
chỗ hơgop,to tie together
"hơgŏu, hơgâu",to be unsuccessful in hunting animals
hơgơng,bridge
hơgỡm,woven headband
hơgỡm, if
hơgỡng-ga,sacrifice pole
hơgỡp,cave
hơguăl,hair bun
hơnĕch-hơhoch,to be ground chopped very small
hohiĕng,of knife to look very sharp
hơhôch,to whistle
hơhôt,of a tube to be clear no obstructions
hơhơch,to make a mistake
hơhrah,"to be offended by, not want"
hơhrin,to pinch hard
hơhrŭk-hrăk,noise of guns going off or someone pounding on another's back 
hơi,"of little value, not so important, to have lost flavor "
hơi,white horse 
hơi-hơi,not very important
hơia,"red, sour tree fruit "
hơiă,happy 
hơiĕ,"many small pieces, children "
hơioh,"child, children"
hơiơch,to bear a child 
hơiơch,light in weight
hơiơl,type of bamboo
hơǐng,to not be afraid 
hơjong,to be almost gone 
hơjỡm,to work with metals
bơngai hơjỡm,blacksmith
hơk-hơk,"to miss, be lonesome for"
hơkĕ,"thin, weak "
"hơkop, prit hơkop",two bananas growing fastened together
hơkôih,to smooth wood by shaving
hơla,to give a gift
hơla,not once
"hơlang, prit hơlang",long yellow bananas
hơlăng,to be generous
hơleh,of fruit to fall to the ground of the sky to fall down
hơlen,to keep on
hơlĕ,"maybe this, maybe that"
hơlĕch,east
holĕnh,"to lie, be untruthful"
hơlêm,to ask for pardon 
hơli,to feel over with hand
hơliang,"to jump, fly in a dream"
hơlik-hơlik,"to have to do over and over, say over and over"
hơloh,immediately
hơlom,perfect rice grains
holŏl,filled by one thing
hơlŏng,throat
holŏu,classifier for elephants
hơlôk,a large pile
hơlơp,pale 
hơlỡ,therefore
hơlỡ,to turn over as when frying
holỡk,"to change, to turn over, to do the wrong or opposite way"
hơluet,to lick one when eating
holŭk,"to turn over, a vehicle turning over"
holŭl,buried almost completely
holŭng,"of a bridge, earth to fall in a hole that is dug"
hơ'lỡng,many each one being beautiful or good
hơ'lỡp,"child, children"
hơmăt,before the face of
hơmet,to prepare to put away
hơmŏ,to think it will be right what one wants
hơmŏl,large chunk of firewood
hơmơng,roundworm
hơmơt,"dangerous, to be feared the most"
hơmỡl,clouds
hơmren,"of arm, leg to sleep"
hơmŭk,classifier for a set of gongs of the same type
hơmŭl,"money in 50, 100, or 500 piastre bills -  many of one kind"
hơ'măng,again 
hơ'mơt,to catch fish with
hơnao,bamboo knife 
hơnǐl,in good condition
hơnong,straw 
hơnỡng,"balanced, equal, to remain the same"
hơnỡng -hơnong,intensive form of hơnỡng
hơnuh,the large husks of rice
hơ'năk,"to cock gun, crossbow"
hơ'nỡk,"to cough up food, cough when eating"
ho'nỡr,to wake up
hơnganh,a poisonous shrub or vine like poison ivy
hơngăm,of fire to go down almost go out
hơngễ,late
hongiĕng,shoulder
hơngo,pine
hơngŏ,of swelling to recede
hơnguang,to hunt animals
hơnguỡk,hook lasso
hơ'nger,to cook on coals
hơ'ngĕl,to do over and over
ho'nguir,"to not be able to stand up because of fall, sickness"
honhă,a fish net that is pulled up by cord
hơnhăm,to scorn
hơnhek,"to be sweaty, dirty and tired"
hơnhĕr,"to describe child who has been crying, is sad"
hơnhik,to work hard and long
honhǐr-honhăr,very sweaty
hơnhok,"tobacco ashes, ashes flying from fire"
hơnhŏ,to be worthy 
kơ hơnhŏ,unworthy
hơnhơr,to squint at
hơnhuăl,type of fish net
hơ'nhah,"to jump up quickly, to stop one doing something"
hơ'nhit-hơ'nhat,to feel sticky
hơ'nhre,to prune a tree
hơ'nhuih,to be wet
hơô,to raise arm holding something ready to hit someone or something
hơpaih,small firewood
hơpĕch,"to rub off dirt, wash off"
hơpoih,"a torch, something used to set fire like dry bamboo"
hơpok,the flesh on either side of the backbone
hơpong,"to visit, in some dialect especially to visit when someone has died"
hơpuih,to sweep 
hơra ,a fruit like the apple or fig
hơret,to tie hard
hơrêng,to be leaning over almost falling
hơri,"to sing, chant"
horŏng,"behind, after"
hơrỡng,a type of worm that eats rice plants
"hơrỡng, hrỡng","a very loud noise, to be noisy"
horỡt,to pull with a jerk
hơtach,friendly
hơtai,"at that time, when"
"hơtang, prit hơtang",long fat type of banana
hơtat,to land hard on the ground
hơtă,"instruct, command, request one to do something, buy something for someone"
hơtăng,thin--in reference to material objects but not people
hơtŏng,stem of fruit handle of pot
hơtỡp,to pound hole into ground
hơtŭk,to cook potatoes or corn
hotŭn,to come together
hơtŭt,to bump into
hơtŭt-hơtat,intensive of hơtŭt
howĕng,"bad-mannered, bad-tempered, mean--male only"
howŏng,"barren, not being able to have children"
hơwơi,to feel for something in the dark--farther out
hơwỡ,to feel for something in the dark--nearer
hơwỡl,to be confused
hơwỡt,to swing arm back and forth
hơyok,ashes (restricted to paper light material)
hoyŏu,small wild fruit that grows on trees
hơyuh,"to want, lust for, desire"
"hơyuh, ayuh","steam, air"
hơyui,to describe someone whose hair is all matted because he never washes it
hơyŭi,almost invisible or out of sight
hơyŭl,a bunch of fruit 
hỡ,of food to be peppery
hỡk,to not want to eat because of odor
hỡm,question marker
hỡm,then 
hỡt,tobacco
hrai,maggots
hraih,a full swing of the arms as in falling or knock to someone down
hraihdang,to fall and land on small of back
hram,to leak out a little
hrang,to throw a spear
hrao,good healthy body
hrao,to wash rice
hrat,"tired, hard, difficult"
hră,crossbow 
hrăk,"to mend, sew with string cord"
hrăp,"enough, too much"
hrăt,"narrow, tight crowded"
hre,rattan
"hre, 'bih hre",a kind of snake the size of rattan
hreh,to be quiet
"hrek, hiĕn hrek",to cough all the time
hrep,to twist off fruit with forked stick
hrĕng,hundred
hrĕng,dry
hrĕp,to be hidden well
"hri, yang hri",the spirit that makes rice grow 
hring,to string fish on a line
hrip,"to suck, magnetism"
hrok,small conical fish trap
hrok,to push rice into bamboo tube
hrot,to pull out from hair
hrơ,of swelling to recede
hrơ,"to be afraid, shy, unaccustomed to"
hrơih,to be careful
hrỡ,of water to seep away dry up go down
hrỡp,"of birds to alight on a tree, perch"
hrỡp,to catch many fish with hands
hrŭ,to pay damages
hrŭch,"to pull on, to break"
hrŭk,to put on clothes
hrŭl,"to be absent from home, school"
"hrŭt, lôch hrŭt",after sickness when feeling almost well to have a bath and then get sick and die 
hu,silver
hua,medium-sized monkey--male is black female white
huach,to gradually become less
huai,"to redeem, to return something precious"
huan,"tendons, veins"
huan,bad-tempered woman
huang,to go somewhere for fun 
chă huang,to go somewhere for fun
huay,"used with a verb it has a negative effect, used alone it means ""never mind"", ""no problem"""
huay-huai,"""but nothing happened"" (although we thought something would)"
huăr,earthworm
huch,"to drink (juices, coffee) "
hue ,"to look back, turn head around"
hueh,to break wood
hueng,"type of snake, worm that lives in water and can burrow easily"
huet,to lick fingers
"hui hai, yă hui hai","name of imaginary people, amazons"
hul-hal,restless
hul-hang,to be hot and very sweaty sultry 
hum ,to bathe
huŏk,mango 
huŏng,to fall from a height
huơ-huĕl,a curly lock of hair
huỡr,"to go around as whirlpool, whirlwind; to whirl"
hŭi,a few
hŭng,bay (horse)
hŭt,to throw away
hư,to be broken 
hưch,to love in a physical sense to desire strongly
iaih,bird trap made by putting a sticky substance on branches
iam,of flies to land on something
ia-um,sound of roar of tiger
iă,fibrous part of sugarcane
iăl,"much, many "
iep,"to suck as leech, to suck on straw"
iĕ,"little, small"
iĕ-ioch,tiny 
iĕl,"huh?, emphasis"
iĕm,2nd person plural
iĕr,chicken
iêl,smooth
ih,2nd person singular formal
iing-iông,large type of mosquito
iing-iông,of a house or tree to swing back and forth in a strong wind 
iir-iur,to describe loose-fitting trousers 
ioi,"classifier for rope, for sets of gongs"
iŏk,"to take, get"
"iôp, sa iôp",to eat licking one's fingers noisily
iôr,"weak (person), small in size"
iôt, to spring down as branch
iung,"to get up, to stand up"
ǐ,yes 
ǐ ah,yes 
ǐch,excrement person 
ǐnh,1st person singular
pơdrŏng ǐt-ing,to be very rich
kơmrơng ǐt-ing,deep forest
"ja, bơmŏu ja",white mushroom
jaǐ,to have increased much from a very small beginning
jak,small back basket
jal,conical fish net that is thrown into the water
jang,to work
jao,"to commit to, hand over to"
jat,intensifier 
jă,small hut used to hide in while hunting
jăk,"to escape, flee, go away"
jăm,to fool
jăng,"bodily movement strong, active"
jăr ,pitch of tree
jeh,"to pick out a sliver, thorn"
jei,to be victorious win
jet ,to ask
jêr-tơjêr,to describe flat-surfaced object in flight
jêu,of leaves to become firm again after being brittle 
jễ,near nearly 
jih,edge 
jing ,to become 
jing ,name of fish
jǐ,"to be sick, pain"
jǐ,"is, copula  "
jǐl,to butt with the horns
jǐl,a small-sized type of deer
jǐl chỗ,to be stiff-fingered
jǐt,ten
bar jǐt,twenty 
jǐt,to shave off wood or bamboo
jo,paralyzed
joh,of a snake to bite
jon,under part of knee joint
"jong, sem jong",type of parrot 
jor,person or animal that has been wounded and so is very ferocious and invulnerable 
jor,"not come to pass, be successful "
pă jor,certainly
jŏ,a quiver 
jŏk,of hoe to have too narrow of an angle 
jŏng,the standing up of a snake
"jŏu, jâu",to accuse 
"jŏu, jâu, yă jŏu",praying mantis
jô,of plants to wither 
"jông-jôt, bơmŏu jông-jôt","type of toadstool, very smelly"
jôr,to pour wine into a bottle
jỗ,to count
jỗ,"to consider, account"
jơ,hour
jơ,"watch, clock "
jơ,signifies completed action 
jơ-rơ-rơ,big or old person falling and rolling 
jơh,if (in some places not used any more)  
jơh-wĕl,of kite or bird to go up and down all over the place
jơhên,"large, wide "
jơhngir,a rake 
"jơhngơi, hiĕk jơhngơi",to laugh hard
jơhngỡm,"chest, figuratively equates with heart in figurative sense in English "
jơjễ,quite near
jơjŏk,"to sputter, to spout off to someone about another person"
jơjueng,"very black, dirty black "
jơk,"green, blue"
jơla,thorn
jơlĕ,"to be like, look like "
jơlŏng,stick used to pull dog with rope on both sides so that animal can't bite the one pulling 
jơlông,type of wine jar of great value
jơlŭt,to do forcefully to force to do
jơlư,bravely
jơlư-jơla,to do what one wants to do but with no purpose
jơma,porcupine 
jơmaih-sơke jơmir,large wild boar
jơmăng,dark skin
"jơmir, kơting jơmir",ribs
jơmlo,of a young person to hold pipe between teeth
jơmlô,of an old person to hold pipe between teeth
jơmo,to be successful in hunting animals
jơmrang,comb of rooster 
jơmul,to plant rice using dibble stick to make holes
jơnap,"plenty, well provided for"
jơnap-jơnoi,intensive of jơnap
jơnǐt,shavings grass straw used for plugging hole
jơnoi,to live long
jơnôr,wine in bottle
jơnỗ,things counted out
jơnỡn,to be old to have lived at one place for a long time 
jơnum,the total of 
jơngong,to hold something between teeth as bird or dog does
jơprê,water spreading out after it comes out small pipe
jơwa,"noise, sound"
jỡl,to be in need
jỡng,leg
jỡp,all over everywhere 
Jrai,Jarai---the large ethnic minority which lives near the Bahnar and shares to some extent culture and language features
"Jrai Bahnar, kon Jrai Bahnar",the Jarai and Bahnar collectively the Montagnard
jrang,lechee-like fruit 
jră,to prevent from going by word of mouth; to accuse someone else for something you did
jrăng,house posts 
jrĕnh,wax 
ŭnh jrĕnh,candle 
jrĕo,to yell
jri,banyan tree 
jro,to sprinkle 
jroh,swift 
jrŏl,pheasant 
"jrŏng, jỡng jrŏng",knock-kneed
jrŏu,to make stew to mix up food 
jrỡp,to pound husked rice in order to polish it 
jruh,of to things descend (in the air only)  
jrŭ,deep 
jrŭm,needle 
jua,"nobody there, nothing there "
jua-juônh,intensive form of jua
"juă, juỡ","to step on, stamp on"
juăt,"in the habit of, accustomed, customarily "
"khôi juăt, tơdrong juăt","customs, laws"
juei,large type of deer
"jum, jum dăr",all around something
juơ,a saw 
juỡ,"to step on, stamp on"
jur,"to go down, descend"
jŭ,black (of dogs only) 
jŭk,octopus; trigger wire
jŭk,to follow someone
'jol-‘jol,to describe appearance of someone hopping on one leg
"""jơ'jih","the drooling of an epileptic, dying animal"
"""jơ'jih-'jơ'jah","intensive of  ""jơ'jih"
"""jrang, jrang, kla 'jrang",leopard 
"""jreng",to yell for help (the noise of the yell) 
"""jrŭk-'jrăk-măk",the noise of many people pounding rice
"""jue","completely, the same "
"""juỡh","to be empty, to empty"
ka,fish
kah,to have done already 
kah-kai,to have studied a short time but know well already 
kai,"to be overseer, chief "
kai (ning nai kai ning mônh),whether this morpheme any meaning of own or used as rhyme in this phrase meaning future
kal,intensive 
kam,to threaten 
kam,to plan to do something 
kang,chin 
kang,the more... the more... even more
kang,measure of wine 
kang ,body of crossbow on which arrow is set
kao,arrowhead
kao,to chop wedges in a pole to make a ladder or in poles to make them weak in making a trap
kăl,to chop large trees
kăl,"important, to need"
kăp,to bite
kăp,to be expensive
kăt,to cut
kăt-kôh,"type of ant that lives in nests in trees, the stomach is raised like a tail"
keh,to be finished usually in making something 
"Kei-Dei , 'Bok  Kei-Dei","God, Lord, Creator of heaven and earth"
keng,musical horn of any type
keng-kong,a square 
kep,anything with scissor-like arms; to cut and post
ket,to choke
ket-kong,to wrestle with legs only (from ankles down) 
kĕ,to be able to to have strength enough
kĕ,"often, accustomed"
kĕch,to harvest rice
kĕt-kŏt or kek-kok,the noise child makes to imitate sound of car
kêng,"to deceive, to accuse"
kêng-kêu,to describe bowlegged stride of a monkey
khak,to clear one's throat 
khan ,to say
khă,to forbid
khă,to be better (Vietnamese borrowing)
khăk,sputum
khăk-khăk,noise of ankle bone when walking
khăn,blanket especially the Bahnar-type blanket
khăng,hard tough
khei,"moon, month "
măt khei,moon
"Khĕch, bơngai Khĕch",Chinese
khĕnh,"bad-tempered, mean (male only)"
khêl,a shield
khǐk,noise of weeping
khǐng-khŭng,noise-making instrument propelled by water power used in fields to scare away animals
khǐng-khŭng,descrbies older people walking bent over
khoǐ-khoǐ,to describe uneven walk of a lame person
khok,to choke on
khong,bad smell
khop,"to bow pray; Catholics, Christian"
khor,to comb hair a tickle in throat 
khot ,of water to become less and less
"khot, 'bŏu khot ",bad smell of old meat
khoy,of food to be burned
khŏm,"occurring singly and before the verb khŏm has the idea of ""to do anyway"" ""keep on doing""; occurring in duplicated form and after verb it means continually"
khôi,"customs, law"
khôǐ,"to throw down, trip up"
khôn,"friendly, kind "
không,an instrument used in weaving to keep of weaving apert
khơǐ-khơǐ,staggering walk of sick person
khơī,to disappear
khơp,to bridle 
khỡ,until
khỡl,noise or way something of wood breaks
khỡng,fire with much flame
khuă,"key, lock"
khuen,part that binds blade to handle
khul,group kind type race of people
khuỡk,to become less
khŭk,minute
khŭk-khŭk,noise of pig when scared
khưi,to describe very hot coals of fire
khưn,trap to catch wild chickens alive
ki,"a while ago, the other day time, designates time from a few days ago up to about a year ago"
kial,wind
kiĕ,place
kiĕk,tiger
kiĕl,bottom of basket
kiĕn,to stick pointed things into something as feathers into a head band
kiĕng,tail 
kiĕt,to peel off
kiĕu,of animals to be with young
kiŏl,noise and movement of something falling into the grass
kiơ,"what, which"
kiỡ,to follow
kiỡ,place
kiỡng,"of something to feel hard and unmoving; of a house to vibrate shake because of earthquake, explosion"
kiŭl,noise and movement of something large falling
kla,"panther, leopard"
klai,"to be fed up with, tired of, angry at"
klaih,"to finish, be done with, get well"
klak,"stomach, intestines"
klan,red worm that lives in dirty water
klang,to place bamboo tube so that water will run through it
klang,"eagle, hawk"
klang kok,stork
klang,kite
klang-klôm,of rice to be only partly cooked
"klanh ,  'nhĕt klanh",type of grass with sharp edges
klă klang,to be shining bright and beautiful
"klăm, măng klăm",very dark
klăn,python
klăng,to level off a field
"klen-klon, yak klen-klon",to walk leaving no evidence where you have been
kleo,of unripe jackfruit to wither up because picked to early
klĕ,to steal
klĕch,to have just left 
klĕng,forehead 
klĕnh,"escape, flee, run away "
klĕp,"to patch clothes, fasten on "
klǐ,"to describe very soft, overcooked potato, banana"
klǐk, deaf 
klong,husband 
klo 'ba,dragonfly 
kloh,"to fade, wash out, become clean "
klong,to tighten as handle of knife 
klong,cooked seeds e.g. of jackfruit
klong măt,eyeball 
klŏ,"to speak clearly, correctly "
klŏk,navel 
klŏng,deep water in river or in sea 
klŏng-chǐng klŏng,bamboo xylophone 
klỗ,to dig out large clods of soil
klơch,"to be afraid continually, person who is always afraid "
klơm,liver
klơng,to lift something up that is heavy 
klỡk,to indicate noise and way something falls to the ground
klỡm,to throw
kluĕk-kluĕk,noise of person eating
klưh,to show love by pinching
klưp,to describe drooping ears of dogs or goats; people's ears sticking out
"ko, sŏk ko ",grey hair
koch,to shred 
koi ,to carry person on shoulders
koi lơloi,expression indicating fear danger might befall someone
kok,white
kol,"hump on back of cows, oxen "
kon,"child, offspring"
kon bơngai,"people, the human race"
kon rơmo,calf
kon kông,"mountain people, Montagnard"
kon ngai,pupil of eye
kong,bracelet
kong kiơng,metal necklace (all one piece)
kong koy,back of neck 
kop ,land turtle
kŏ,dog
kŏ brăng,millepede
kŏ so,"wolf, wild dog"
kŏk,wooden bell-like instrument hung on cow or carabao
kôch,to scoop rice sand with hands dig with hands
kôih,to scrape e.g. scrape pig skin
kông,"mountain, high hill"
"kông, chêng kông",large gongs
kôp,"to hang on to tree as orchid, vine; entwine"
kỗ,"a final particle exact meaning unknown, may have the sense of ""you know"""
kơ,a connector on phrase level occurring very frequently
kơbaī,an animal to scratch the ground furiously
"kơbăl, kơbăl jỡng",legs sore from walking
kơbô,a very large type of tree-climbing vine
kơbỡp,"of metal to be bent, dented"
kơ'bang,table
kơ'bêl,expression used when one sees many people or other things
kơ'bôp,cabbage
kơ'bŭl,to be round shaped as full tree cabbage
kơchai,bottle
kơchap,fish scales 
kơchăn,to be ready to jump or pounce upon 
kơchăng,"to watch out for, be careful, be ready "
kơchĕr-kơchônh,to describe something sparking or sparkling 
kơchǐk,type of tree used in building
kơchok,"cup, glass "
kơchŏng krŏu,to be wrinkled as leaf paper clothing
kơchôh jôn,"to bend the knee, kneel "
kơchôp,hoof  
kơchôt luĕt,to be wrinkled up as paper 
kơchuh lut,to stumble and fall forward
kơdah,to kick 
kơdal,rump 
kơdăng,"of earth to be hard, or a tire "
kơdeh,to break up sod with swinging motion of hoe 
kơdĕn,button
kơdêt,to spread out legs very far 
kơdi,"matter, case to be judged"
kơdih,"own self, by oneself"
kơdǐm,onion 
kơdong,snake having alternate black and white stripes around body 
kơdôih,to describe something with a bumpy surface such as a turtle
"kơdông, hre kơdông",largest type of rattan
"kơdŏu, kơđâu",to run 
kơdỡ,"to be shy, ashamed "
kơdỡl,solid (no holes)
kơdỡp,to hide
kơdranh,person who serves as go between for bride and groom; witness 
kơdră,old (bamboo) leader elder eldest child
kơdrăt,"to be startled, frightened"
kơdrǐng,narrow porch running all the way around house
kơdroh,wine that lost its power
kơdrot,"bee-like insect that in tree or ground, smaller than bee"
kodrŏu,anything used to poison fish
kodrỗ,"to do alone, be alone"
kơdrơh,floor
kodrơih,to scare by hiding and suddenly appearing
kơdrỡp,bird trap
kơdruh,"trap for fish made by putting poles in pond, lake to make place for them to live and then damming up after"
kơdu,to run
kơdŭ,"the back of a person, animal"
kơdŭn,"withdraw, go backwards"
kơdŭng,"pocket, pouch"
kơdŭnh,strong fat person
kơdŭt,very young grass of thatch used to make roofs
kơđang,to step over 
kơđeng,a light lamp
kơđinh,nail
kơđông,military post camp
kơđôp,handful
kơđum,large shallow basket or tray used to winnow rice
kơeng,"to love, value-as children"
kơep,centipede
kơgring,big fire
kơgring-kơgrang,loud noise 
kơhret,to tie securely 
kơiĕng,sides of body at waist 
kơjăp,"secure, strong, firm, reliable"
kơjon,to be lame under knee from sitting too long
kơjung,"long, tall "
kơ'jrat,position with limbs thrown out as animals roasting
kơka,"type of very hard burning wood, it makes good charcoal "
kơkaǐ,to scratch one's body 
kơkă,chew 
kơklăn,fat wrinkly stomach
kơko,a bee-like insect 
kơkoch,to not hear anything 
kơkoy,to nod in falling asleep
kơkŏng,forearm from elbow to wrist
kơkuh,"to salute, greet, worship, bow "
kơkŭh,propeller fan
kơla,scar 
kơla-kơlĕch,to have many scars 
kơlap,flying ant 
kơlăm,metal bowl used for dipping rice measuring 
mu kơlăm,helmet
kơleng,to look at 
kơlĕ,"perhaps, maybe this, maybe that "
kơliĕt,type of bead made from a certain of grass and used on loincloths
kơlih,because
kolŏng,small puff of smoke
kơlôk,large pile  
kơlôk-kơlak-mak,intensive form of kơlôk
kơlông,of things to peel when burnt 
kơlông-kơlang,intensive form of kơlông
kơlŭng,large cloud of smoke
kơ'lêng,to describe the spread of the wings of a plane
kơmaǐ,machine engine
kơman,"cracked, scaly feet"
kơmang,gills
"kơmar,  kon kơmar",twins
kơmăl,"strong-bodied, muscular"
kơmăng,at night night time
kơmăng kơmơt,at night night time
kơmăp,of animals to die of a natural cause
kơmăt,gall bladder
kơmlat,lightning
kơmlo,"dumb, unable to speak"
"kơmoh kơ ih, inh wă brŏk","""excuse me, I must go home"""
kơmong,the soft spot on a baby's head
kơmot,type of termite
kơmŏ,dirty 
kơmŏ-gŏ,kettle black
kơmŏk-blan,"a type of bee-like insect that is very small, its honey and offspring are edible"
kơmỡt,gall bladder
kơmrui,small type of fly (fruit fly)
kơmuăl,of a dog to be very good in hunting
kơmuh,suds
kơmưt,"that, someone like you"
kơ'min,to hold in front in arms as a baby 
kơn,a cloth 
kơn nhêu,head cloth
kơn seo,towel
kơna,clause and sentence-level conjunction--then therefore so
kơnam,"to hold a grudge, to threaten"
kơnao,wedge cut as in ladder
kơnar,type of white worm that eats roots of plants
"kơnăl, gơnăl",to recognize
kơne,"rat, mouse"
kơne kơchai,shrew
tep kơne,"to sleep lightly, to shut eyes but not really sleep"
kơnễ,"bad, evil"
kơni,one-stringed musical instrument played with a bow
kơnol,swollen lymph glands or possibly means only lymph glands 
jǐ-kơnol,"swollen lymph glands, plague"
kơnong,dikes that divide sections of a rice field (wet rice)
"kơnŏk, yă kơnŏk",name of a mythical woman who plays with present-day children
kơnơl,heel
kơnu,large white worm that eats trees callouses
"kơnuăn, hla kơnuăn","sweet potato vines,  leaves"
kơnung,"family, family name"
kơnur,eyebrow
"kơ'năm, gơ'năm",belt
kơ'năr,"during day, by day"
kơ'nŏn,of animal to curl up to keep warm 
kơ'nơng,"sway-backed, crooked back"
kơ'nơp,to shelter oneself
kơ'nŭn,hunched
kơnglat,a slice
kơ'ngap,to yawn
kơ'ngiĕng,waist
kơ'ngon,to stretch one's neck
kơ'nguenh,to curl up e.g. a dog 
